name,abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,count0,count0.25,count0.5,count1,count2,Count4,Combined_score_1,attack,defense,base_happiness,hp,special_attack,special_defense,speed,capture_rate,cap_rate_normalized,Combined_score_2,classfication,experience_growth,height,japanese_name,percentage_male,pokedex_number,type1,type2,weight_kg,generation,is_legendary
Murkrow,"['Insomnia', 'Super Luck', 'Prankster']",1,0.5,1,2,2,1,1,1,0.5,0.5,0,2,1,1,0,2,1,1,2,0,3,9,4,0,132,85,42,35,60,85,42,91,30,67.69924925,460,Darkness Pokémon,1059860,0.5,Yamikarasuヤミカラス,50,198,dark,flying,2.1,2,0
Slowking,"['Oblivious', 'Own Tempo', 'Regenerator']",2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,0,0,6,7,5,0,86,75,80,70,95,100,110,30,70,54.19766204,568.571,Royal Pokémon,1000000,2,Yadokingヤドキング,50,199,water,psychic,79.5,2,0
Misdreavus,['Levitate'],0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1,2,0,2,12,2,0,132,60,60,35,60,85,85,85,45,60.48829123,483.333,Screech Pokémon,800000,0.7,Mumaムウマ,50,200,ghost,,1,2,0
Unown,['Levitate'],2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,0,0,2,13,3,0,74,72,48,70,48,72,48,48,225,42.51370769,408.667,Symbol Pokémon,1000000,0.5,Unknownアンノーン,,201,psychic,,5,2,0
Wobbuffet,"['Shadow Tag', 'Telepathy']",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,0,0,2,13,3,0,74,33,58,70,190,33,58,33,45,60.48829123,488.333,Patient Pokémon,1000000,1.3,Sonansソーナンス,50,202,psychic,,28.5,2,0
Girafarig,"['Inner Focus', 'Early Bird', 'Sap Sipper']",2,2,1,1,1,1,1,1,0,1,1,1,1,1,0.5,1,1,1,1,0,1,14,2,0,100,80,65,70,70,90,65,85,60,56.23818558,535,Long Neck Pokémon,1000000,1.5,Kirinrikiキリンリキ,50,203,normal,psychic,41.5,2,0
Pineco,"['Sturdy', 'Overcoat']",1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,0,0,3,12,3,0,78,65,90,70,50,35,35,15,190,43.88363883,363.158,Bagworm Pokémon,1000000,0.6,Kunugidamaクヌギダマ,50,204,bug,,7.2,2,0
Forretress,"['Sturdy', 'Overcoat']",0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1,1,1,7,8,0,1,137,90,140,70,75,60,60,40,75,53.33159079,543,Bagworm Pokémon,1000000,1.2,Foretosフォレトス,50,205,bug,steel,125.8,2,0
Dunsparce,"['Serene Grace', 'Run Away', 'Rattled']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,16,1,0,98,70,70,70,100,65,65,45,190,43.88363883,488.158,Land Snake Pokémon,1000000,1.5,Nokocchiノコッチ,50,206,normal,,14,2,0
Gligar,"['Hyper Cutter', 'Sand Veil', 'Immunity']",0.5,1,1,0,1,0.5,1,1,1,1,0,4,1,0.5,1,1,1,2,2,0,3,11,1,1,135,75,105,70,65,35,65,85,60,56.23818558,510,Flyscorpion Pokémon,1059860,1.1,Gligerグライガー,50,207,ground,flying,64.8,2,0
Steelix,"['Rock Head', 'Sturdy', 'Sheer Force']",0.5,1,0.5,0,0.5,2,2,0.5,1,1,2,1,0.5,0,0.5,0.25,0.5,2,2,1,7,4,4,0,160,125,230,70,75,55,95,30,25,71.5338279,704,Iron Snake Pokémon,1000000,9.2,Haganeilハガネール,50,208,steel,ground,400,2,0
Snubbull,"['Intimidate', 'Run Away', 'Rattled']",0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,1,0,3,12,2,0,108,80,50,70,60,40,40,30,190,43.88363883,373.158,Fairy Pokémon,800000,0.6,Buluブルー,24.6,209,fairy,,7.8,2,0
Granbull,"['Intimidate', 'Quick Feet', 'Rattled']",0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,1,0,3,12,2,0,108,120,75,70,90,60,60,45,75,53.33159079,528,Fairy Pokémon,800000,1.4,Granbuluグランブル,24.6,210,fairy,,48.7,2,0
Qwilfish,"['Poison Point', 'Swift Swim', 'Intimidate']",0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,0,0,8,7,3,0,98,95,85,70,65,55,55,85,45,60.48829123,523.333,Balloon Pokémon,1000000,0.5,Harysenハリーセン,50,211,water,poison,3.9,2,0
Scizor,"['Swarm', 'Technician', 'Light Metal']",0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1,1,1,7,8,0,1,137,150,140,70,70,65,100,75,25,71.5338279,694,Pincer Pokémon,1000000,1.8,Hassamハッサム,50,212,bug,steel,118,2,0
Shuckle,"['Sturdy', 'Gluttony', 'Contrary']",1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,2,2,2,0,0,2,13,3,0,74,10,230,70,20,10,230,5,190,43.88363883,578.158,Mold Pokémon,1059860,0.6,Tsubotsuboツボツボ,50,213,bug,rock,20.5,2,0
Heracross,"['Swarm', 'Guts', 'Moxie']",0.5,0.5,1,1,2,0.5,2,4,1,0.5,0.5,1,1,1,2,1,1,1,0,0,5,9,3,1,83,185,115,70,80,40,105,75,45,60.48829123,683.333,Singlehorn Pokémon,1250000,1.5,Heracrosヘラクロス,50,214,bug,fighting,54,2,0
Sneasel,"['Inner Focus', 'Keen Eye', 'Pickpocket']",2,0.5,1,1,2,4,2,1,0.5,1,1,0.5,1,1,0,2,2,1,1,0,3,8,5,1,99,95,55,35,55,35,75,115,60,56.23818558,475,Sharp Claw Pokémon,1059860,0.9,Nyulaニューラ,50,215,dark,ice,28,2,0
Teddiursa,"['Pickup', 'Quick Feet', 'Honey Gather']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,16,1,0,98,80,50,70,60,50,50,40,120,48.09585513,405,Little Bear Pokémon,1000000,0.6,Himegumaヒメグマ,50,216,normal,,8.8,2,0
Ursaring,"['Guts', 'Quick Feet', 'Unnerve']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,16,1,0,98,130,75,70,90,75,75,55,60,56.23818558,580,Hibernator Pokémon,1000000,1.8,Ringumaリングマ,50,217,normal,,125.8,2,0
Slugma,"['Magma Armor', 'Flame Body', 'Weak Armor']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,0,0,6,9,3,0,90,40,40,70,40,70,40,20,190,43.88363883,323.158,Lava Pokémon,1000000,0.7,Magmagマグマッグ,50,218,fire,,35,2,0
Magcargo,"['Magma Armor', 'Flame Body', 'Weak Armor']",0.5,1,1,1,0.5,2,0.25,0.5,1,1,4,0.5,0.5,0.5,1,2,1,4,0,1,6,7,2,2,98,50,120,70,60,90,80,30,75,53.33159079,508,Lava Pokémon,1000000,0.8,Magcargotマグカルゴ,50,219,fire,rock,55,2,0
Swinub,"['Oblivious', 'Snow Cloak', 'Thick Fat']",1,1,1,0,1,2,2,1,1,2,1,1,1,0.5,1,1,2,2,1,0,1,11,5,0,94,50,40,70,50,30,30,50,225,42.51370769,322.667,Pig Pokémon,1250000,0.4,Urimooウリムー,50,220,ice,ground,6.5,2,0
Piloswine,"['Oblivious', 'Snow Cloak', 'Thick Fat']",1,1,1,0,1,2,2,1,1,2,1,1,1,0.5,1,1,2,2,1,0,1,11,5,0,94,100,80,70,100,60,60,50,75,53.33159079,528,Swine Pokémon,1250000,1.1,Inomooイノムー,50,221,ice,ground,55.8,2,0
Corsola,"['Hustle', 'Natural Cure', 'Regenerator']",1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,0,1,4,9,3,1,91,55,95,70,65,65,95,35,60,56.23818558,490,Coral Pokémon,800000,0.6,Sunnygoサニーゴ,24.6,222,water,rock,5,2,0
Remoraid,"['Hustle', 'Sniper', 'Moody']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,0,0,4,12,2,0,84,65,35,70,35,65,35,65,190,43.88363883,373.158,Jet Pokémon,1000000,0.6,Teppouoテッポウオ,50,223,water,,12,2,0
Octillery,"['Suction Cups', 'Sniper', 'Moody']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,0,0,4,12,2,0,84,105,75,70,75,105,75,45,75,53.33159079,558,Jet Pokémon,1000000,0.9,Okutankオクタン,50,224,water,,28.5,2,0
Delibird,"['Vital Spirit', 'Hustle', 'Insomnia']",0.5,1,1,2,1,1,2,1,1,0.5,0,1,1,1,1,4,2,1,1,0,2,11,3,1,99,55,45,70,45,65,45,75,45,60.48829123,413.333,Delivery Pokémon,800000,0.9,Delibirdデリバード,50,225,ice,flying,16,2,0
Mantine,"['Swift Swim', 'Water Absorb', 'Water Veil']",0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,1,0,5,10,1,1,115,40,70,70,85,80,140,70,25,71.5338279,579,Kite Pokémon,1250000,2.1,Mantainマンタイン,50,226,water,flying,220,2,0
Skarmory,"['Keen Eye', 'Sturdy', 'Weak Armor']",0.25,1,0.5,2,0.5,1,2,0.5,1,0.25,0,1,0.5,0,0.5,1,0.5,1,2,2,6,6,2,0,172,80,140,70,65,40,70,70,25,71.5338279,559,Armor Bird Pokémon,1250000,1.7,Airmdエアームド,50,227,steel,flying,50.5,2,0
Houndour,"['Early Bird', 'Flash Fire', 'Unnerve']",1,0.5,1,1,1,2,0.5,1,0.5,0.5,2,0.5,1,1,0,2,0.5,2,1,0,6,7,4,0,116,60,30,35,45,80,50,65,120,48.09585513,370,Dark Pokémon,1250000,0.6,Delvilデルビル,50,228,dark,fire,10.8,2,0
Houndoom,"['Early Bird', 'Flash Fire', 'Unnerve']",1,0.5,1,1,1,2,0.5,1,0.5,0.5,2,0.5,1,1,0,2,0.5,2,1,0,6,7,4,0,116,90,90,35,75,140,90,115,45,60.48829123,648.333,Dark Pokémon,1250000,1.4,Hellgarヘルガー,50,229,dark,fire,35,2,0
Kingdra,"['Swift Swim', 'Sniper', 'Damp']",1,1,2,1,2,1,0.25,1,1,1,1,1,1,1,1,1,0.5,0.25,0,2,1,13,2,0,96,95,95,70,75,95,95,85,45,60.48829123,623.333,Dragon Pokémon,1000000,1.8,Kingdraキングドラ,50,230,water,dragon,152,2,0
Phanpy,"['Pickup', 'Sand Veil']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,1,0,2,12,3,0,102,60,60,70,90,40,40,40,120,48.09585513,405,Long Nose Pokémon,1000000,0.5,Gomazouゴマゾウ,50,231,ground,,33.5,2,0
Donphan,"['Sturdy', 'Sand Veil']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,1,0,2,12,3,0,102,120,120,70,90,60,60,50,60,56.23818558,580,Armor Pokémon,1000000,1.1,Donfanドンファン,50,232,ground,,120,2,0
Porygon2,"['Trace', 'Download', 'Analytic']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,16,1,0,98,80,90,70,85,105,95,60,45,60.48829123,598.333,Virtual Pokémon,1000000,0.6,Porygon2ポリゴン２,,233,normal,,32.5,2,0
Stantler,"['Intimidate', 'Frisk', 'Sap Sipper']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,16,1,0,98,95,62,70,73,85,65,85,45,60.48829123,548.333,Big Horn Pokémon,1250000,1.4,Odoshishiオドシシ,50,234,normal,,71.2,2,0
Smeargle,"['Own Tempo', 'Technician', 'Moody']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,16,1,0,98,20,35,70,55,20,45,75,45,60.48829123,333.333,Painter Pokémon,800000,1.2,Dobleドーブル,50,235,normal,,58,2,0
Tyrogue,"['Guts', 'Steadfast', 'Vital Spirit']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,0,0,3,12,3,0,78,35,35,70,35,35,35,35,75,53.33159079,288,Scuffle Pokémon,1000000,0.7,Balkieバルキー,100,236,fighting,,21,2,0
Hitmontop,"['Intimidate', 'Technician', 'Steadfast']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,0,0,3,12,3,0,78,95,95,70,50,35,110,70,45,60.48829123,538.333,Handstand Pokémon,1000000,1.4,Kapoererカポエラー,100,237,fighting,,48,2,0
Smoochum,"['Oblivious', 'Forewarn', 'Hydration']",2,2,1,1,1,1,2,1,2,1,1,0.5,1,1,0.5,2,2,1,0,0,2,10,6,0,68,30,15,70,45,85,65,65,45,60.48829123,388.333,Kiss Pokémon,1000000,0.4,Muchulムチュール,0,238,ice,psychic,6,2,0
Elekid,"['Static', 'Vital Spirit']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,0,0,3,14,1,0,82,63,37,70,45,65,55,95,45,60.48829123,443.333,Electric Pokémon,1000000,0.6,Elekidエレキッド,75.4,239,electric,,23.5,2,0
Magby,"['Flame Body', 'Vital Spirit']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,0,0,6,9,3,0,90,75,37,70,45,70,55,83,45,60.48829123,448.333,Live Coal Pokémon,1000000,0.7,Bubyブビィ,75.4,240,fire,,21.4,2,0
Miltank,"['Thick Fat', 'Scrappy', 'Sap Sipper']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,16,1,0,98,80,105,70,95,40,70,100,45,60.48829123,573.333,Milk Cow Pokémon,1250000,1.2,Miltankミルタンク,0,241,normal,,75.5,2,0
Blissey,"['Natural Cure', 'Serene Grace', 'Healer']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,16,1,0,98,10,10,140,255,75,135,55,30,67.69924925,700,Happiness Pokémon,800000,1.5,Happinasハピナス,0,242,normal,,46.8,2,0
Raikou,"['Pressure', 'Inner Focus']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,0,0,3,14,1,0,82,85,75,35,90,115,100,115,3,209.5903274,815,Thunder Pokémon,1250000,1.9,Raikouライコウ,,243,electric,,178,2,1
Entei,"['Pressure', 'Inner Focus']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,0,0,6,9,3,0,90,115,85,35,115,90,75,100,3,209.5903274,815,Volcano Pokémon,1250000,2.1,Enteiエンテイ,,244,fire,,198,2,1
Suicune,"['Pressure', 'Inner Focus']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,0,0,4,12,2,0,84,75,115,35,100,90,115,85,3,209.5903274,815,Aurora Pokémon,1250000,2,Suicuneスイクン,,245,water,,187,2,1
Larvitar,"['Guts', 'Sand Veil']",1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,1,1,4,6,4,2,114,64,50,35,50,45,50,41,45,60.48829123,348.333,Rock Skin Pokémon,1250000,0.6,Yogirasヨーギラス,50,246,rock,ground,72,2,0
Pupitar,['Shed Skin'],1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,1,1,4,6,4,2,114,84,70,35,70,65,70,51,45,60.48829123,458.333,Hard Shell Pokémon,1250000,1.2,Sanagirasサナギラス,50,247,rock,ground,152,2,0
Tyranitar,"['Sand Stream', 'Unnerve']",2,0.5,1,1,2,4,0.5,0.5,0.5,2,2,1,0.5,0.5,0,1,2,2,1,0,6,4,6,1,109,164,150,35,100,95,120,71,45,60.48829123,748.333,Armor Pokémon,1250000,2,Bangirasバンギラス,50,248,rock,dark,202,2,0
Lugia,"['Pressure', 'Multiscale']",1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1,1,1,2,9,5,0,110,90,130,0,106,90,154,110,3,209.5903274,880,Diving Pokémon,1250000,5.2,Lugiaルギア,,249,psychic,flying,216,2,1
Ho-Oh,"['Pressure', 'Regenerator']",0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,1,2,4,8,2,1,133,130,90,0,106,110,154,90,3,209.5903274,880,Rainbow Pokémon,1250000,3.8,Hououホウオウ,,250,fire,flying,199,2,1
Celebi,['Natural Cure'],4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,0,0,6,5,6,1,81,100,100,100,100,100,100,100,45,60.48829123,713.333,Time Travel Pokémon,1059860,0.6,Celebiセレビィ,,251,psychic,grass,5,2,1
Treecko,"['Overgrow', 'Unburden']",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,0,0,4,9,5,0,78,45,35,70,40,65,55,70,45,60.48829123,393.333,Wood Gecko Pokémon,1059860,0.5,Kimoriキモリ,88.1,252,grass,,5,3,0
Grovyle,"['Overgrow', 'Unburden']",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,0,0,4,9,5,0,78,65,45,70,50,85,65,95,45,60.48829123,488.333,Wood Gecko Pokémon,1059860,0.9,Juptileジュプトル,88.1,253,grass,,21.6,3,0
Sceptile,"['Overgrow', 'Unburden']",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,0,0,4,9,5,0,78,110,75,70,70,145,85,145,45,60.48829123,713.333,Forest Pokémon,1059860,1.7,Jukainジュカイン,88.1,254,grass,,52.2,3,0
Torchic,"['Blaze', 'Speed Boost']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,0,0,6,9,3,0,90,60,40,70,45,70,50,45,45,60.48829123,393.333,Chick Pokémon,1059860,0.4,Achamoアチャモ,88.1,255,fire,,2.5,3,0
Combusken,"['Blaze', 'Speed Boost']",0.25,0.5,1,1,1,1,0.5,2,1,0.5,2,0.5,1,1,2,1,0.5,2,0,1,5,8,4,0,96,85,60,70,60,85,60,55,45,60.48829123,488.333,Young Fowl Pokémon,1059860,0.9,Wakasyamoワカシャモ,88.1,256,fire,fighting,19.5,3,0
Blaziken,"['Blaze', 'Speed Boost']",0.25,0.5,1,1,1,1,0.5,2,1,0.5,2,0.5,1,1,2,1,0.5,2,0,1,5,8,4,0,96,160,80,70,80,130,80,100,45,60.48829123,713.333,Blaze Pokémon,1059860,1.9,Bursyamoバシャーモ,88.1,257,fire,fighting,52,3,0
Mudkip,"['Torrent', 'Damp']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,0,0,4,12,2,0,84,70,50,70,50,50,50,40,45,60.48829123,393.333,Mud Fish Pokémon,1059860,0.4,Mizugorouミズゴロウ,88.1,258,water,,7.6,3,0
Marshtomp,"['Torrent', 'Damp']",1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,1,0,4,12,0,1,113,85,70,70,70,60,70,50,45,60.48829123,488.333,Mud Fish Pokémon,1059860,0.7,Numacrawヌマクロー,88.1,259,water,ground,28,3,0
Swampert,"['Torrent', 'Damp']",1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,1,0,4,12,0,1,113,150,110,70,100,95,110,70,45,60.48829123,718.889,Mud Fish Pokémon,1059860,1.5,Laglargeラグラージ,88.1,260,water,ground,81.9,3,0
Poochyena,"['Run Away', 'Quick Feet', 'Rattled']",2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,1,0,2,12,3,0,102,55,35,70,35,30,30,35,255,41.55343044,292.549,Bite Pokémon,1000000,0.5,Pochienaポチエナ,50,261,dark,,13.6,3,0
Mightyena,"['Intimidate', 'Quick Feet', 'Moxie']",2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,1,0,2,12,3,0,102,90,70,70,70,60,60,70,127,47.53295139,494.921,Bite Pokémon,1000000,1,Graenaグラエナ,50,262,dark,,37,3,0
Zigzagoon,"['Pickup', 'Gluttony', 'Quick Feet']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,16,1,0,98,30,41,70,38,30,41,60,255,41.55343044,312.353,Tiny Racoon Pokémon,1000000,0.4,Jiguzagumaジグザグマ,50,263,normal,,17.5,3,0
Linoone,"['Pickup', 'Gluttony', 'Quick Feet']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,16,1,0,98,70,61,70,78,50,61,100,90,51.17072191,496.667,Rush Pokémon,1000000,0.5,Massugumaマッスグマ,50,264,normal,,32.5,3,0
Wurmple,"['Shield Dust', 'Run Away']",1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,0,0,3,12,3,0,78,45,35,70,45,20,30,20,255,41.55343044,267.353,Worm Pokémon,1000000,0.3,Kemussoケムッソ,50,265,bug,,3.6,3,0
Silcoon,['Shed Skin'],1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,0,0,3,12,3,0,78,35,55,70,50,25,25,15,120,48.09585513,280,Cocoon Pokémon,1000000,0.6,Karasalisカラサリス,50,266,bug,,10,3,0
Beautifly,"['Swarm', 'Rivalry']",0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,1,2,1,9,4,1,117,70,50,70,60,100,50,65,45,60.48829123,478.333,Butterfly Pokémon,1000000,1,Agehuntアゲハント,50,267,bug,flying,28.4,3,0
Cascoon,['Shed Skin'],1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,0,0,3,12,3,0,78,35,55,70,50,25,25,15,120,48.09585513,280,Cocoon Pokémon,1000000,0.7,Mayuldマユルド,50,268,bug,,11.5,3,0
Dustox,"['Shield Dust', 'Compoundeyes']",0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,0,2,3,9,4,0,100,50,70,70,60,50,90,65,45,60.48829123,468.333,Poison Moth Pokémon,1000000,1.2,Dokucaleドクケイル,50,269,bug,poison,31.6,3,0
Lotad,"['Swift Swim', 'Rain Dish', 'Own Tempo']",2,1,1,1,1,1,1,2,1,1,0.5,1,1,2,1,1,0.5,0.25,0,1,2,12,3,0,86,30,30,70,40,40,50,30,255,41.55343044,292.353,Water Weed Pokémon,1059860,0.5,Hassbohハスボー,50,270,water,grass,2.6,3,0
Lombre,"['Swift Swim', 'Rain Dish', 'Own Tempo']",2,1,1,1,1,1,1,2,1,1,0.5,1,1,2,1,1,0.5,0.25,0,1,2,12,3,0,86,50,50,70,60,60,70,50,120,48.09585513,415,Jolly Pokémon,1059860,1.2,Hasubreroハスブレロ,50,271,water,grass,32.5,3,0
Ludicolo,"['Swift Swim', 'Rain Dish', 'Own Tempo']",2,1,1,1,1,1,1,2,1,1,0.5,1,1,2,1,1,0.5,0.25,0,1,2,12,3,0,86,70,70,70,80,90,100,70,45,60.48829123,563.333,Carefree Pokémon,1059860,1.5,Runpappaルンパッパ,50,272,water,grass,55,3,0
Seedot,"['Chlorophyll', 'Early Bird', 'Pickpocket']",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,0,0,4,9,5,0,78,40,50,70,40,30,30,30,255,41.55343044,292.353,Acorn Pokémon,1059860,0.5,Tanebohタネボー,50,273,grass,,4,3,0
Nuzleaf,"['Chlorophyll', 'Early Bird', 'Pickpocket']",4,0.5,1,0.5,2,2,2,2,0.5,0.5,0.5,2,1,2,0,1,1,0.5,1,0,6,4,6,1,109,70,40,70,70,60,40,60,120,48.09585513,415,Wily Pokémon,1059860,1,Konohanaコノハナ,50,274,grass,dark,28,3,0
Shiftry,"['Chlorophyll', 'Early Bird', 'Pickpocket']",4,0.5,1,0.5,2,2,2,2,0.5,0.5,0.5,2,1,2,0,1,1,0.5,1,0,6,4,6,1,109,100,60,70,90,90,60,80,45,60.48829123,563.333,Wickid Pokémon,1059860,1.3,Dirtengダーテング,50,275,grass,dark,59.6,3,0
Taillow,"['Guts', 'Scrappy']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,2,0,2,11,3,0,130,55,30,70,40,30,30,85,200,43.45879897,343,TinySwallow Pokémon,1059860,0.3,Subameスバメ,50,276,normal,flying,2.3,3,0
Swellow,"['Guts', 'Scrappy']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,2,0,2,11,3,0,130,85,60,70,60,75,50,125,45,60.48829123,538.333,Swallow Pokémon,1059860,0.7,Ohsubameオオスバメ,50,277,normal,flying,19.8,3,0
Wingull,"['Keen Eye', 'Hydration', 'Rain Dish']",0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,1,0,5,10,1,1,115,30,30,70,40,55,30,85,190,43.88363883,343.158,Seagull Pokémon,1000000,0.6,Camomeキャモメ,50,278,water,flying,9.5,3,0
Pelipper,"['Keen Eye', 'Drizzle', 'Rain Dish']",0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,1,0,5,10,1,1,115,50,100,70,60,95,70,65,45,60.48829123,523.333,Water Bird Pokémon,1000000,1.2,Pelipperペリッパー,50,279,water,flying,28,3,0
Ralts,"['Synchronize', 'Trace', 'Telepathy']",1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1,1,1,1,12,3,0,110,25,25,35,28,45,35,40,235,42.17508979,235.553,Feeling Pokémon,1250000,0.4,Raltsラルトス,50,280,psychic,fairy,6.6,3,0
Kirlia,"['Synchronize', 'Trace', 'Telepathy']",1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1,1,1,1,12,3,0,110,35,35,35,38,65,55,50,120,48.09585513,318,Emotion Pokémon,1250000,0.8,Kirliaキルリア,50,281,psychic,fairy,20.2,3,0
Gardevoir,"['Synchronize', 'Trace', 'Telepathy']",1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1,1,1,1,12,3,0,110,85,65,35,68,165,135,100,45,60.48829123,666.333,Embrace Pokémon,1250000,1.6,Sirnightサーナイト,50,282,psychic,fairy,48.4,3,0
Surskit,"['Swift Swim', 'Rain Dish']",1,1,1,2,1,0.5,1,2,1,1,0.5,0.5,1,1,1,2,0.5,0.5,0,0,5,10,3,0,86,30,32,70,40,50,52,65,200,43.45879897,342,Pond Skater Pokémon,1000000,0.5,Ametamaアメタマ,50,283,bug,water,1.7,3,0
Masquerain,"['Intimidate', 'Unnerve']",0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,1,2,1,9,4,1,117,60,62,70,70,100,82,80,75,53.33159079,532,Eyeball Pokémon,1000000,0.8,Amemothアメモース,50,284,bug,flying,3.6,3,0
Shroomish,"['Effect Spore', 'Poison Heal', 'Quick Feet']",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,0,0,4,9,5,0,78,40,60,70,60,40,60,35,255,41.55343044,367.353,Mushroom Pokémon,1640000,0.4,Kinococoキノココ,50,285,grass,,4.5,3,0
